full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Affiliate,Sentiment
@avoskinbeauty Aku mau Sunscreen Avoskin The Great Shield SPF 50 PA ++++ Serum Your Skin Bae Vitamin C 3% ️ Moisturizer Your Skin Bae Glow Concentrate Aqua Ceramide 2% Boleh ya mimin sayang 2024 menuju kulit sehat bercahaya impianku banget #AvoskinLoveBox 11,1796108249730556044,,fairinez,in,INA 🇮🇩,0,0,0,https://x.com/fairinez/status/1796108249730556044,2833596926,fairinez,0,1
@harurutrvs_ skintype akuu combi oily dan lgi ada jerawat on off toner : pyunkang yul npure avoskin mrt buat exfo moist : eiem beauty sunscreen : azarine micellar/cleansing balm : facetology salicylic,1795804965480571038,,harurutrvs_,in,04z,0,0,0,https://x.com/fairyynaa/status/1795804965480571038,1185124681101168641,fairyynaa,0,2
@harurutrvs_ toner: refining toner avoskin (INI EXFO TONER DAN BAGUS BANGETT) moist: skin 1004 sunscreen: azarine micellar: facetology aku pake acne warrior bnb ditotol ke jerawatnya jadi cepet kering apalagi aku suka ada jerawat mendem jadi cepet muncul matanya,1795789937708548200,,harurutrvs_,in,01z,0,1,0,https://x.com/5junkyu/status/1795789937708548200,1356344304,5junkyu,0,1
Cek YSB Shield of Sun Essence SPF 50 PA++++ 5 ml Avoskin Original #Sunscreen dengan harga Rp59.000. Dapatkan di #Shopee sekarang! https://t.co/4c04gfr8vh,1795664687717314906,,,in,Kebumen,0,0,0,https://x.com/EvermosSStore2/status/1795664687717314906,1506226526043353090,EvermosSStore2,1,2
@ohmybeautybank aku pake avoskin bagus sih tp gak yg instan gitu yaa terus aku notice semenjak ganti sunscreen malah bekas jerawatnya lebih cepet pudar. awalnya pake avo vit c + ss azarine ganti jadi avo vit c + amaterasun yg physical ss jadi lebih cepet pudarnya. jadi kayaknya ss jg ngaruh(?),1795421452956828021,,ohmybeautybank,in,♡,0,3,1,https://x.com/seyaseyi/status/1795421452956828021,268204448,seyaseyi,0,1
@apasihdit Rajin basic skincare nggak niih? Penting banget lho buat pemula rutin pakai facial cleanser - moisturizer- sunscreen,1795414531856044058,,apasihdit,in,Indonesia,0,1,0,https://x.com/avoskinbeauty/status/1795414531856044058,1129861128,avoskinbeauty,0,1
@convomf micellar water : purbasari facewash : elshe skin toner : airin serum : avoskin hya eksfoliasi : somethinc aha bha pha moisturizer : skintific sunscreen : amaterasun lipbalm/lip oil : vaseline,1795313166303604969,,convomf,in,,0,0,0,https://x.com/Clara_amri/status/1795313166303604969,1761215859975147520,Clara_amri,0,3
@tenwayvx Balik ke basic skincare kak facial wash moist terus sunscreen. Pake yang ringan aja aku pake dr skintific avoskin sama Labore,1794687407826346024,,tenwayvx,in,aspitasariayu@gmail.com,0,0,0,https://x.com/ayyuaspita19/status/1794687407826346024,1114918612060360704,ayyuaspita19,0,1
Aku kan semalam pertama kali eksfoliasi pake toner avoskin mrt nah paginya aku pakein sunscreen pas agak siang muka ku jadi bruntusan dan agak gatal ini gak cocok atau emang gitu ya pemakaian pertama kali?? Mohon infonya ya teman2️ (Udh kompres es batu msh agak gatal),1794685167963181154,,,in,,0,0,0,https://x.com/trivialed/status/1794685167963181154,949669742154936321,trivialed,0,0
@ohmybeautybank sunscreen boj moist wardah tranexamic cosrx aha 7 avoskin mrt nah serumnya blm nemu pengganti produk yg diboikot,1794597965111394542,,ohmybeautybank,in,,0,0,0,https://x.com/99nadelaine/status/1794597965111394542,1477788428573937664,99nadelaine,0,0
